№№;Название;Фото;Категория;Количество, шт. ;Размеры (ВхШхГ);Материалы;Наименование;Заметки;Гарнитур;Оценка (агент TwoTables), за 1 шт. 
17;Стол журнальный с узором на столешнице;;Стол журнальный;1;75x92x47;Каркас - массив, покрыто шпоном;;Узор по дереву на столешнице и бокам, 2 выдвижных ящика и выдвижной планшет;;
18;Стол журнальный с рисунком в китайском стиле;;Стол журнальный;1;43x90x90;Каркас - металл, столешница - дерево/металл с рисунком;;Рисунок в китайском стиле на столешнице.;;
19;Стол круглый с мраморной столешницей и декором в виде голов горных козлов;;Стол журнальный;1;64x66x66;Каркас - металл, столешница - мрамор с металлическим обрамлением;;Декоративные кованые элементы в виде голов горных козлов;;
20;Стол с каменной столешницей серого цвета;;Стол журнальный;2;64x68x68;Каркас - дерево, столешница - камень;;Столешница серого цвета с рисунком камня;Да, + большой квадратный стол + консоль. Все с одинаковыми каменными столешницами;100 000 ₽
21;Стол круглый двухуровневый с каменной столешницей;;Стол журнальный;1;69x70x70;Каркас - металл, столешница - камень с металлическим обрамлением;;Столешница черного цвета, полка;;
22;Стул с ручками;;Стул;1;89x56x60;Каркас - дерево, обивка - ткань, декоративные элементы - металл;;;;
23;Стул с тканевой обивкой и декоративными элементам на ручках;;Стул;2;90x58x60;Каркас - дерево, обивка - ткань, декоративные элементы - металл;;На одном стуле не хватает декоративных элементов на подлокотнике, на другом - накладок на ножках. ;;
24;Банкетка маленькая;;Банкетка;2;45x47x35;Каркас - дерево, обивка - ткань;;Современная мебель;;
25;Стул с белой тканевой обвикой;;Стул;2;103x44x47;Каркас - дерево, обивка - ткань;;Тканевая обивка - велюр. У одного стула есть подлокотники, у другого - нет. Требуется чистка обивки и подклейка каркаса;;
26;Стул с плетеной спинкой;;Стул;2;95x62x54;Каркас - дерево, обивка - ткань, спинка - плетеная;;На одном из стульев порвана спинка;;
27;Стул с красной обивкой и фигурной спинкой;;Стул;2;102x67x60;Каркас - дерево, обивка - ткань;A-Zenith, Китай;;Да + 4 стульев с красной обивкой + 2 стула с красной обивкой и подлокотником (№№ 28, 29);
28;Стул с красной обивкой и подлокотниками;;Стул;2;99x62x54;Каркас - дерево, обивка - ткань;A-Zenith, Китай;;Да + 4 стульев с красной обивкой + 2 стула с красной обивкой и фигурной спинкой (№№ 27, 29);
29;Стул с красной обивкой;;Стул;2;99x54x54;Каркас - дерево, обивка - ткань;A-Zenith, Китай;;Да + 2 стула с красной обивкой и фигурной спинкой + 2 стула с красной обивкой и подлокотником (№№ 27, 28);
30;Тумбочка прикроватная;;Тумба;2;73x78x46;Дерево покрытое краской;A-Zenith, Китай. Модель 3505-03;;2 тумбочки + комод;
31;Комод в спальню;;Комод;1;100x125x55;Дерево покрытое краской;A-Zenith, Китай, Модель 3505-01;;2 тумбочки + комод;
32;Комод шпонированный;;Комод;1;97x122x63;Дерево шпонированное;;Ключи есть;;70 000 ₽
